ref,info
943230055,"<tag k=""amenity"" v=""bank""/><tag k=""atm"" v=""yes""/><tag k=""brand"" v=""Sacombank""/><tag k=""brand:wikidata"" v=""Q6123772""/><tag k=""name"" v=""Sacombank""/><tag k=""operator"" v=""Sacombank""/>"
943230060,"<tag k=""name"" v=""Điện Thoại Di Động Viễn Kiều""/><tag k=""name:en"" v=""Vien Kieu Mobile Phone Shop""/><tag k=""shop"" v=""mobile_phone""/>"
943230064,"<tag k=""amenity"" v=""pharmacy""/><tag k=""name"" v=""Nhà Thuốc Số 1""/><tag k=""name:en"" v=""Pharmacy No. 1""/>"
943230070,"<tag k=""addr:street"" v=""Tôn Đức Thắng""/><tag k=""name"" v=""Khách Sạn Riverside Saigon""/><tag k=""name:en"" v=""Riverside Hotel""/><tag k=""tourism"" v=""hotel""/>"
943230072,"<tag k=""amenity"" v=""food_court""/><tag k=""cuisine"" v=""asian""/><tag k=""name"" v=""Quán Hủ Tiếu Mì Chú Sè""/>"
943230073,"<tag k=""amenity"" v=""cafe""/><tag k=""name"" v=""Cà Phê Vườn Kiểng""/>"
943230082,"<tag k=""name"" v=""Đại Lý Bảo Hiểm Prudential""/><tag k=""name:en"" v=""Prudential Insurance Agent""/><tag k=""office"" v=""insurance""/>"
946794453,"<tag k=""amenity"" v=""dentist""/><tag k=""healthcare"" v=""dentist""/><tag k=""name"" v=""Nha Khoa PT""/><tag k=""name:en"" v=""PT Dental Clinic""/>"
946794455,"<tag k=""addr:housenumber"" v=""107""/><tag k=""addr:street"" v=""Đường Hoàng Diệu""/><tag k=""name"" v=""Bánh Mì Minh Châu""/><tag k=""shop"" v=""bakery""/>"
946794472,"<tag k=""amenity"" v=""cafe""/><tag k=""cuisine"" v=""regional""/><tag k=""name"" v=""Cà Phê Spotlight""/>"
946794475,"<tag k=""name"" v=""Kỳ Hòa Mobifone""/><tag k=""name:en"" v=""Ky Hoa Mobile Phone""/><tag k=""shop"" v=""mobile_phone""/>"
946794481,"<tag k=""name"" v=""Điện Thoại Lê Hùng""/><tag k=""name:en"" v=""Le Hung Mobile Phone""/><tag k=""shop"" v=""mobile_phone""/>"
946794489,"<tag k=""amenity"" v=""bank""/><tag k=""name"" v=""OCB Bank""/><tag k=""name:en"" v=""Eastern Bank""/>"
946794493,"<tag k=""name"" v=""Thời Trang Tóc Đình Khải""/><tag k=""name:en"" v=""Dinh Khai Hairdresser""/><tag k=""shop"" v=""hairdresser""/>"
946794496,"<tag k=""amenity"" v=""bank""/><tag k=""name"" v=""BacA Bank""/><tag k=""name:en"" v=""North Asia Bank""/><tag k=""operator"" v=""Bac A""/>"
946794500,"<tag k=""description"" v=""Rice shop""/><tag k=""name"" v=""Cửa Hàng Gạo Chợ Đào""/><tag k=""shop"" v=""convenience""/>"
946794506,"<tag k=""name"" v=""Du Lịch Miền Nam""/><tag k=""name:en"" v=""South Travel""/><tag k=""shop"" v=""travel_agency""/>"
946794507,"<tag k=""name"" v=""Cửa Hàng Thương Mại Quốc Tế Mega""/><tag k=""shop"" v=""kiosk""/>"
946794526,"<tag k=""description"" v=""jewelry""/><tag k=""name"" v=""Tiệm Vàng Kim Đức Thịnh""/><tag k=""shop"" v=""jewelry""/>"
